"id_casa","id_arrendatario","tipo_vivienda","provincia_ubicacion","capacidad_maxima","numero_habitaciones","numero_banos","precio_base_noche","categoria","distancia_centro_km","anio_construccion","amenities","calificacion_limpieza","calificacion_ubicacion","calificacion_general","mascotas_permitidas","fumadores_permitidos","eventos_permitidos"
1,654,"Casa","La Pampa",5,6,1,17146,"Estándar",14.1,1964,"WiFi,TV,Calefacción",3.2,4.1,4.5,TRUE,FALSE,FALSE
2,875,"Loft","Entre Ríos",10,6,4,10619,"Económica",2.8,1967,"Cocina equipada,Seguridad 24hs,Parrilla,Pileta",3.9,3.3,4.5,TRUE,FALSE,FALSE
3,669,"Cabaña","Chubut",7,2,3,52179,"Ultra lujo",0.2,2018,"Calefacción,Lavadora,Terraza,Vista al mar,Cocina equipada,Estacionamiento,Seguridad 24hs,Aire acondicionado",4.9,3.8,4.9,FALSE,FALSE,FALSE
4,335,"Casa","Tierra del Fuego",7,3,1,39894,"Ultra lujo",3.8,2016,"Terraza,Acceso a playa,Aire acondicionado,WiFi,Lavadora",4.4,3.5,1.9,TRUE,FALSE,FALSE
5,475,"Loft","Formosa",2,6,3,49899,"Ultra lujo",4.4,1989,"Acceso a playa,Cocina equipada",2.9,4.4,3.1,TRUE,FALSE,FALSE
6,254,"Cabaña","Buenos Aires",4,1,4,19521,"Estándar",13.2,1978,"TV,Seguridad 24hs,Vista al mar,Parrilla,Calefacción",3.5,2.8,2.7,TRUE,FALSE,FALSE
7,575,"Loft","Jujuy",6,4,1,26254,"Premium",13.7,1975,"Calefacción,Parrilla,Pileta,Vista al mar,WiFi,Aire acondicionado,Cocina equipada,Seguridad 24hs",4.8,2.7,1.8,FALSE,FALSE,FALSE
8,344,"Loft","Entre Ríos",6,1,1,14054,"Estándar",8.8,1957,"Jacuzzi,Estacionamiento,Aire acondicionado,Cocina equipada,Acceso a playa,Gimnasio,WiFi",1.4,3.5,3.3,TRUE,FALSE,FALSE
9,50,"Loft","CABA",5,4,1,48482,"Ultra lujo",0.9,2014,"Aire acondicionado,Estacionamiento,Terraza",3,3.9,2.8,TRUE,FALSE,TRUE
10,33,"Loft","Mendoza",11,2,4,39377,"Lujo",4,1957,"Aire acondicionado,Jacuzzi,Acceso a playa,Calefacción",2.1,2.1,1.2,FALSE,FALSE,FALSE
11,788,"Loft","San Luis",4,4,2,11842,"Económica",1,2005,"Estacionamiento,Acceso a playa,Vista al mar",4.2,3.9,1.9,FALSE,FALSE,FALSE
12,121,"Cabaña","Tucumán",12,5,1,27843,"Lujo",1,2002,"Vista al mar,Cocina equipada,Parrilla,Jacuzzi,Lavadora",3.8,1.5,1,FALSE,FALSE,FALSE
13,80,"Chalet","Santa Cruz",3,3,3,17809,"Estándar",4.9,1958,"Cocina equipada,WiFi",3.6,1.1,2.6,FALSE,FALSE,FALSE
14,867,"Departamento","Entre Ríos",3,3,3,34422,"Lujo",1.6,1992,"Lavadora,Jacuzzi",1.8,4,2.2,FALSE,FALSE,FALSE
15,658,"Loft","Córdoba",10,5,1,31972,"Lujo",1.1,1999,"Jacuzzi,Calefacción,Parrilla,Aire acondicionado,Gimnasio",3.1,3.3,4.7,TRUE,FALSE,FALSE
16,237,"Cabaña","Santa Cruz",6,3,3,49258,"Ultra lujo",3.2,1956,"Calefacción,Acceso a playa,TV,Jacuzzi,Cocina equipada",3.6,3.4,2.4,FALSE,FALSE,TRUE
17,817,"Chalet","Chaco",10,5,2,11157,"Estándar",4.1,2021,"Calefacción,Aire acondicionado,Parrilla,Estacionamiento",2.3,1.4,3.8,TRUE,FALSE,FALSE
18,837,"Cabaña","CABA",9,5,3,31682,"Lujo",7.9,1998,"Calefacción,Seguridad 24hs,Terraza,Gimnasio,Cocina equipada",1.2,1.1,4.9,TRUE,FALSE,FALSE
19,552,"Chalet","Misiones",4,2,1,39882,"Ultra lujo",1.1,2006,"Seguridad 24hs,Parrilla,Pileta,Estacionamiento,Terraza,Jacuzzi,Lavadora,Acceso a playa",3.2,3.5,4.6,FALSE,FALSE,FALSE
20,270,"Casa","San Juan",9,6,3,36280,"Lujo",3.3,1970,"Calefacción,Pileta,WiFi,Lavadora,Aire acondicionado,Parrilla,Estacionamiento",1.3,1.4,2.4,FALSE,FALSE,FALSE
21,100,"Cabaña","Entre Ríos",9,1,4,15583,"Estándar",0.1,2015,"Pileta,TV,Aire acondicionado,Seguridad 24hs,Calefacción,Jacuzzi,Lavadora,Cocina equipada",3.2,1.2,2.9,FALSE,FALSE,TRUE
22,426,"Loft","Chubut",8,5,2,10465,"Económica",6.4,1953,"Estacionamiento,Jacuzzi,Seguridad 24hs,Lavadora",3.2,3.5,2.3,TRUE,FALSE,TRUE
23,739,"Chalet","Salta",9,1,3,7947,"Económica",7.5,1961,"Acceso a playa,Gimnasio,Seguridad 24hs,Terraza",2.7,4.9,4.9,FALSE,FALSE,TRUE
24,480,"Loft","Río Negro",7,6,3,9354,"Económica",13.1,2001,"Cocina equipada,TV,Seguridad 24hs,Acceso a playa,Pileta,Parrilla,Jacuzzi",1.1,4.1,1.6,FALSE,FALSE,FALSE
25,47,"Cabaña","Córdoba",10,6,1,11226,"Económica",13.2,1993,"Jacuzzi,Vista al mar,Aire acondicionado,WiFi,Cocina equipada",4.2,1.4,3.9,FALSE,FALSE,FALSE
26,230,"Casa","Misiones",8,3,4,8585,"Económica",9.7,1961,"Calefacción,Acceso a playa,Gimnasio,Parrilla,Vista al mar,Aire acondicionado,Seguridad 24hs",3.6,2.7,1.5,FALSE,FALSE,FALSE
27,43,"Casa","Tucumán",5,5,3,36043,"Ultra lujo",10.3,1998,"Calefacción,Gimnasio,WiFi,Seguridad 24hs,Parrilla,Aire acondicionado,Jacuzzi",2.5,1.7,1.9,TRUE,TRUE,FALSE
28,124,"Loft","Chaco",4,1,3,48695,"Ultra lujo",8.3,1955,"Parrilla,Cocina equipada,Seguridad 24hs,Acceso a playa",2.1,2.2,2.5,FALSE,FALSE,FALSE
29,391,"Loft","La Pampa",3,6,4,26023,"Premium",0.9,2010,"Jacuzzi,Pileta,Terraza",2.3,1.8,4.7,FALSE,FALSE,FALSE
30,377,"Chalet","La Rioja",9,3,1,11621,"Estándar",7.6,2006,"Lavadora,Acceso a playa,Jacuzzi,Vista al mar,Parrilla",2.3,3.3,4,FALSE,FALSE,FALSE
31,888,"Cabaña","Neuquén",9,6,2,7803,"Económica",12.4,1980,"Acceso a playa,WiFi,Pileta,Aire acondicionado,TV",3.9,2.3,3.4,TRUE,TRUE,FALSE
32,162,"Cabaña","Formosa",11,6,3,41804,"Ultra lujo",5.7,1984,"Acceso a playa,Cocina equipada",4.4,2.2,4.7,FALSE,FALSE,FALSE
33,41,"Cabaña","Formosa",11,6,4,8881,"Económica",4.5,1999,"Estacionamiento,Vista al mar,Aire acondicionado,WiFi,Terraza,Parrilla,Gimnasio",3.3,3.6,2.2,TRUE,FALSE,FALSE
34,383,"Chalet","Entre Ríos",8,2,3,37896,"Lujo",10.2,1964,"Acceso a playa,Estacionamiento,TV,Gimnasio",2.4,4.3,4.6,TRUE,FALSE,TRUE
35,252,"Casa","Chubut",8,3,2,37944,"Lujo",11.3,1953,"TV,Estacionamiento,Lavadora,Cocina equipada,Aire acondicionado,Pileta,Terraza,Gimnasio",3.6,3.2,1.3,TRUE,FALSE,FALSE
36,743,"Loft","Neuquén",10,4,1,36459,"Lujo",0.4,1975,"WiFi,Acceso a playa,Cocina equipada,Parrilla,Seguridad 24hs,Gimnasio,TV,Calefacción",3.7,3.9,3.5,FALSE,FALSE,FALSE
37,300,"Loft","Neuquén",12,1,2,37489,"Ultra lujo",0.7,2021,"WiFi,TV,Lavadora,Acceso a playa,Vista al mar,Estacionamiento,Seguridad 24hs,Jacuzzi",2.5,2.4,2.4,TRUE,FALSE,FALSE
38,255,"Cabaña","Entre Ríos",12,6,1,46621,"Ultra lujo",7.3,2020,"Pileta,Estacionamiento,Seguridad 24hs,WiFi",3.7,3.9,3.4,FALSE,FALSE,FALSE
