"id_transaccion","cantidad_noches","precio_noche","cantidad_personas","fecha_checkin","fecha_checkout","metodo_pago","estado_transaccion","descuento_aplicado","costo_limpieza","costo_servicio","impuestos","calificacion_huesped","calificacion_anfitrion"
1,12,25032,3,2024-12-23,2025-01-04,"Efectivo","En curso",15,5513,45058,63081,NA,NA
2,12,59254,1,2024-11-27,2024-12-09,"Transferencia bancaria","Completada",9,7120,106657,149320,4,1
3,8,35758,1,2023-06-27,2023-07-05,"Billetera virtual","Completada",0,6622,42910,60073,1,4
4,9,16855,1,2024-07-15,2024-07-24,"Tarjeta de crédito","Pendiente",21,3869,22754,31856,NA,NA
5,11,30575,4,2024-08-21,2024-09-01,"Billetera virtual","En curso",25,2054,50449,70628,NA,NA
6,1,6824,9,2023-05-21,2023-05-22,"Tarjeta de crédito","En curso",16,7358,1024,1433,NA,NA
7,11,12193,3,2024-05-18,2024-05-29,"Tarjeta de crédito","Cancelada",30,2549,20118,28166,NA,NA
8,3,8863,3,2023-12-20,2023-12-23,"Tarjeta de crédito","Completada",27,6759,3988,5584,3,1
9,12,22766,8,2023-04-19,2023-05-01,"Efectivo","Cancelada",28,2004,40979,57370,NA,NA
10,1,32396,6,2023-10-25,2023-10-26,"Tarjeta de crédito","Completada",21,5756,4859,6803,2,4
11,1,37188,8,2024-09-17,2024-09-18,"Transferencia bancaria","En curso",23,2045,5578,7809,NA,NA
12,10,7539,2,2024-09-07,2024-09-17,"Billetera virtual","Completada",23,3644,11308,15832,5,2
13,3,23728,2,2023-12-30,2024-01-02,"Tarjeta de crédito","Cancelada",18,4703,10678,14949,NA,NA
14,13,9955,2,2025-01-15,2025-01-28,"Transferencia bancaria","Completada",30,3997,19412,27177,5,5
15,10,52632,3,2023-04-10,2023-04-20,"Tarjeta de crédito","Completada",27,6711,78948,110527,2,5
16,3,23992,3,2025-02-13,2025-02-16,"Tarjeta de crédito","Completada",2,6125,10796,15115,3,1
17,1,36414,5,2024-01-19,2024-01-20,"Billetera virtual","Completada",26,6215,5462,7647,4,3
18,5,44518,1,2023-08-13,2023-08-18,"Tarjeta de crédito","Completada",20,4617,33388,46744,1,1
19,8,5909,10,2024-08-15,2024-08-23,"Tarjeta de crédito","Completada",13,5722,7091,9927,5,4
20,6,21392,6,2024-11-10,2024-11-16,"Tarjeta de crédito","Pendiente",2,7849,19253,26954,NA,NA
21,14,15410,1,2024-08-05,2024-08-19,"Tarjeta de crédito","En curso",17,7236,32361,45305,NA,NA
22,2,15849,9,2023-04-29,2023-05-01,"Tarjeta de crédito","Completada",23,3481,4755,6657,2,4
23,8,6259,3,2023-05-24,2023-06-01,"Tarjeta de crédito","Completada",18,7675,7511,10515,5,1
24,12,15181,3,2023-05-05,2023-05-17,"Tarjeta de crédito","Pendiente",6,7418,27326,38256,NA,NA
25,14,8872,2,2024-01-07,2024-01-21,"Tarjeta de crédito","Completada",1,7966,18631,26084,2,2
26,13,33555,8,2023-09-28,2023-10-11,"Billetera virtual","Cancelada",27,3600,65432,91605,NA,NA
27,6,13431,1,2023-08-15,2023-08-21,"Tarjeta de crédito","Completada",5,5147,12088,16923,5,1
28,8,11478,5,2024-04-25,2024-05-03,"Billetera virtual","Completada",8,4655,13774,19283,3,4
29,9,16141,2,2023-12-08,2023-12-17,"Tarjeta de crédito","Completada",15,2341,21790,30506,3,2
30,4,11328,3,2023-09-19,2023-09-23,"Tarjeta de crédito","Completada",10,3761,6797,9516,4,4
31,7,5506,2,2023-07-06,2023-07-13,"Tarjeta de crédito","Completada",18,5502,5781,8094,5,3
32,13,53446,6,2023-10-28,2023-11-10,"Tarjeta de crédito","Completada",28,6961,104220,145908,5,4
33,11,34196,2,2023-08-13,2023-08-24,"Efectivo","Completada",23,5428,56423,78993,3,2
34,3,60407,1,2024-03-04,2024-03-07,"Tarjeta de crédito","Completada",2,4757,27183,38056,3,1
35,6,32785,5,2024-04-04,2024-04-10,"Tarjeta de crédito","Completada",2,3190,29506,41309,4,1
36,4,28245,5,2023-01-28,2023-02-01,"Transferencia bancaria","En curso",2,3066,16947,23726,NA,NA
37,11,14068,1,2024-04-06,2024-04-17,"Tarjeta de crédito","Completada",24,7509,23212,32497,3,2
38,12,30227,2,2024-06-30,2024-07-12,"Tarjeta de crédito","Completada",25,3826,54409,76172,5,4
39,13,6299,8,2023-03-27,2023-04-09,"Efectivo","Completada",5,4619,12283,17196,3,4
40,3,40013,5,2023-06-01,2023-06-04,"Transferencia bancaria","Cancelada",1,2376,18006,25208,NA,NA
41,5,13997,2,2023-04-23,2023-04-28,"Tarjeta de crédito","Completada",6,6297,10498,14697,4,1
42,10,18554,2,2025-01-19,2025-01-29,"Billetera virtual","Completada",23,4119,27831,38963,3,4
43,6,26722,3,2024-12-24,2024-12-30,"Transferencia bancaria","Completada",4,6345,24050,33670,3,1
44,7,14364,2,2024-12-08,2024-12-15,"Tarjeta de crédito","En curso",4,3645,15082,21115,NA,NA
45,10,34548,6,2024-03-16,2024-03-26,"Tarjeta de crédito","Completada",30,7776,51822,72551,3,5
46,9,24527,3,2024-04-18,2024-04-27,"Transferencia bancaria","Completada",22,6236,33111,46356,2,1
47,9,37771,1,2024-08-28,2024-09-06,"Transferencia bancaria","Pendiente",20,4102,50991,71387,NA,NA
48,11,21429,3,2023-08-31,2023-09-11,"Tarjeta de crédito","Pendiente",27,3204,35358,49501,NA,NA
49,5,17708,1,2023-08-17,2023-08-22,"Transferencia bancaria","Completada",14,2656,13281,18593,2,3
50,8,52527,2,2024-04-30,2024-05-08,"Tarjeta de crédito","Completada",6,5967,63032,88245,1,4
51,13,25457,2,2025-02-19,2025-03-04,"Efectivo","Cancelada",27,2504,49641,69498,NA,NA
52,11,29202,4,2024-01-10,2024-01-21,"Tarjeta de crédito","Completada",3,4192,48183,67457,3,3
53,1,25888,1,2023-04-27,2023-04-28,"Tarjeta de crédito","Cancelada",6,3446,3883,5436,NA,NA
54,11,23669,4,2023-03-21,2023-04-01,"Tarjeta de crédito","Cancelada",21,4359,39054,54675,NA,NA
55,6,38293,7,2024-09-29,2024-10-05,"Transferencia bancaria","Completada",4,4568,34464,48249,3,3
56,13,9730,2,2024-08-11,2024-08-24,"Efectivo","Completada",12,3213,18974,26563,1,1
57,7,13936,7,2023-07-24,2023-07-31,"Tarjeta de crédito","Completada",24,4262,14633,20486,2,2
58,14,21838,5,2025-03-16,2025-03-30,"Tarjeta de crédito","Completada",26,2628,45860,64204,2,2
59,6,4232,1,2023-07-28,2023-08-03,"Billetera virtual","Completada",3,7631,3809,5332,3,3
60,7,10753,7,2023-10-24,2023-10-31,"Tarjeta de crédito","Pendiente",18,3658,11291,15807,NA,NA
