"id_transaccion","id_alquila","id_arrendatario","id_casa","fecha_transaccion","origen_reserva"
1,2504,334,1802,2024-11-18,"Sitio Web"
2,323,255,1845,2024-03-03,"App Móvil"
3,4197,271,578,2023-07-20,"App Móvil"
4,3245,104,1427,2024-02-28,"Teléfono"
5,4452,251,243,2023-02-21,"App Móvil"
6,1740,428,1518,2023-11-21,"App Móvil"
7,3267,874,2828,2023-04-29,"Sitio Web"
8,121,777,417,2023-03-11,"Sitio Web"
9,1349,162,1042,2024-08-27,"Sitio Web"
10,1488,615,2586,2023-06-23,"Sitio Web"
11,1114,363,195,2023-06-18,"App Móvil"
12,1410,396,2925,2023-11-11,"App Móvil"
13,2119,619,1662,2024-04-16,"Sitio Web"
14,2655,846,2157,2024-12-11,"Sitio Web"
15,3029,299,1369,2023-10-13,"App Móvil"
16,4490,863,2321,2023-02-06,"App Móvil"
17,1767,808,2070,2024-06-23,"App Móvil"
18,1006,236,822,2023-03-16,"App Móvil"
19,3297,924,212,2024-09-13,"App Móvil"
20,2523,944,451,2023-07-19,"App Móvil"
21,4030,643,676,2023-01-21,"App Móvil"
22,3393,496,2076,2023-11-13,"Sitio Web"
23,1637,877,570,2024-01-22,"App Móvil"
24,2032,942,838,2024-12-04,"App Móvil"
25,4427,208,129,2024-04-05,"Sitio Web"
26,2190,495,101,2024-01-13,"Sitio Web"
27,706,930,1699,2024-03-10,"Teléfono"
28,1483,639,22,2024-04-21,"Teléfono"
29,2005,574,651,2023-12-12,"App Móvil"
30,3099,665,672,2023-09-06,"App Móvil"
31,1176,452,2583,2023-01-02,"App Móvil"
32,4200,1,932,2023-12-15,"App Móvil"
33,1701,740,941,2023-10-08,"Sitio Web"
34,3640,888,1526,2024-04-11,"Teléfono"
35,3801,630,2873,2023-04-23,"App Móvil"
36,469,858,2859,2024-04-06,"Sitio Web"
37,294,9,486,2024-12-03,"App Móvil"
38,3254,346,1768,2023-01-09,"Sitio Web"
39,4539,707,1272,2024-09-24,"App Móvil"
40,4124,607,2721,2024-10-14,"App Móvil"
41,700,705,2454,2024-01-28,"App Móvil"
42,2501,508,2091,2023-05-06,"Sitio Web"
