"id_alquila","sexo","edad","provincia_nacimiento","cantidad_alquileres","calificacion_media","fecha_registro","nivel_verificacion","idiomas_hablados","preferencia_ubicacion"
1,"Femenino",29,"Corrientes",32,4,2021-10-11,"Completo","Español,Portugués","Santa Cruz"
2,"Femenino",49,"Misiones",15,3,2022-10-10,"Completo","Español","Tucumán"
3,"Femenino",67,"Córdoba",29,2.5,2022-01-11,"Completo","Español,Inglés","Tierra del Fuego"
4,"Femenino",56,"Santa Cruz",32,1.2,2022-03-29,"Básico","Español,Inglés,Portugués","San Juan"
5,"Femenino",18,"Neuquén",14,4.1,2021-01-05,"Completo","Español,Inglés,Portugués","Tucumán"
6,"Femenino",40,"La Rioja",27,4,2020-05-14,"Básico","Español,Inglés","CABA"
7,"Masculino",34,"Formosa",36,2.6,2019-09-22,"Intermedio","Español","Santiago del Estero"
8,"Masculino",51,"La Rioja",7,3.6,2019-06-06,"Completo","Español,Inglés","Misiones"
9,"Masculino",66,"San Luis",5,4,2024-08-03,"Básico","Español,Portugués","Catamarca"
10,"Masculino",64,"San Luis",9,2.3,2022-09-21,"Completo","Español,Inglés,Portugués","Santiago del Estero"
11,"Masculino",39,"Salta",45,1.9,2022-02-21,"Intermedio","Español","Catamarca"
12,"Masculino",56,"Jujuy",50,4.4,2023-03-05,"Básico","Español,Inglés","Mendoza"
13,"Masculino",42,"La Rioja",12,2.1,2021-02-11,"Básico","Español","Entre Ríos"
14,"Femenino",57,"La Rioja",18,4,2023-07-22,"Completo","Español,Inglés,Portugués","Misiones"
15,"Masculino",51,"La Rioja",2,3.6,2021-10-30,"Completo","Español,Inglés","CABA"
16,"Masculino",38,"Chubut",5,1.2,2019-12-02,"Intermedio","Español","San Luis"
17,"Femenino",46,"San Luis",2,4.1,2019-06-26,"Básico","Español","Entre Ríos"
18,"Masculino",56,"La Pampa",15,1.9,2019-09-30,"Completo","Español,Inglés,Portugués","Tierra del Fuego"
19,"Masculino",68,"Mendoza",41,2.1,2019-09-18,"Completo","Español","La Pampa"
20,"Masculino",35,"Santiago del Estero",37,2,2019-12-24,"Completo","Español,Portugués","Río Negro"
21,"Femenino",70,"Buenos Aires",5,3.6,2021-02-11,"Completo","Español","Formosa"
22,"Femenino",44,"CABA",3,2.6,2022-07-16,"Intermedio","Español,Inglés,Portugués","Entre Ríos"
23,"Masculino",33,"Santa Fe",41,1.1,2023-06-06,"Básico","Español","Chubut"
24,"Femenino",37,"Santa Fe",15,4,2022-05-31,"Completo","Español,Inglés,Portugués","Catamarca"
25,"Masculino",26,"Misiones",45,4.6,2024-02-01,"Intermedio","Español,Portugués","Catamarca"
26,"Femenino",55,"Chubut",10,1.1,2020-11-18,"Intermedio","Español,Inglés,Portugués","Catamarca"
27,"Masculino",52,"San Juan",20,4.5,2023-11-03,"Básico","Español,Portugués","Jujuy"
28,"Femenino",41,"San Luis",7,2.3,2024-09-05,"Intermedio","Español,Inglés,Portugués","Entre Ríos"
29,"Masculino",38,"Jujuy",7,3.9,2021-09-13,"Completo","Español,Inglés","Córdoba"
30,"Femenino",65,"Salta",22,4.4,2022-11-19,"Completo","Español,Inglés","Misiones"
31,"Masculino",27,"Chaco",12,3.4,2022-04-03,"Básico","Español,Portugués","Entre Ríos"
32,"Femenino",51,"Misiones",14,4.4,2024-01-03,"Completo","Español,Inglés","Formosa"
33,"Femenino",42,"CABA",44,2.9,2022-06-28,"Intermedio","Español,Inglés,Portugués","Chubut"
34,"Masculino",63,"Santiago del Estero",47,1.3,2021-03-04,"Intermedio","Español,Portugués","Córdoba"
35,"Masculino",37,"Chaco",49,4.4,2023-09-02,"Básico","Español,Inglés","Chubut"
36,"Femenino",57,"Chubut",38,4.6,2022-11-06,"Intermedio","Español","Tucumán"
37,"Masculino",31,"Jujuy",46,4.3,2020-05-20,"Completo","Español","Santa Cruz"
38,"Masculino",54,"CABA",12,2.8,2024-08-12,"Completo","Español","Corrientes"
39,"Masculino",50,"Santa Fe",16,1.7,2019-03-16,"Completo","Español,Inglés","CABA"
40,"Masculino",70,"Formosa",48,3.9,2019-12-23,"Intermedio","Español,Inglés,Portugués","CABA"
41,"Femenino",41,"Formosa",48,1.6,2019-09-20,"Básico","Español,Inglés,Portugués","Corrientes"
42,"Masculino",33,"Mendoza",45,1.7,2023-06-05,"Intermedio","Español,Inglés,Portugués","Salta"
43,"Femenino",28,"Córdoba",44,1,2021-07-20,"Completo","Español","San Luis"
44,"Masculino",18,"Mendoza",47,3.3,2023-04-20,"Básico","Español,Inglés,Portugués","Santa Cruz"
45,"Masculino",70,"Buenos Aires",39,4,2022-07-24,"Intermedio","Español","Santa Cruz"
46,"Masculino",49,"Tierra del Fuego",27,2.6,2020-02-05,"Intermedio","Español","Neuquén"
47,"Masculino",43,"Neuquén",24,3,2023-03-10,"Completo","Español,Portugués","CABA"
48,"Masculino",68,"Córdoba",36,4.3,2023-10-15,"Completo","Español,Inglés,Portugués","Mendoza"
49,"Femenino",51,"Chaco",42,1.5,2023-09-17,"Completo","Español,Portugués","Entre Ríos"
50,"Masculino",66,"Santiago del Estero",25,3.4,2024-09-26,"Completo","Español,Portugués","Salta"
51,"Femenino",61,"San Luis",31,3.3,2022-08-21,"Completo","Español","Buenos Aires"
52,"Femenino",35,"Formosa",49,4.4,2021-11-26,"Completo","Español,Inglés","La Pampa"
53,"Masculino",51,"Mendoza",42,4.8,2024-11-02,"Intermedio","Español,Portugués","Corrientes"
54,"Masculino",36,"Río Negro",45,4.9,2020-04-09,"Completo","Español","Tierra del Fuego"
55,"Masculino",27,"CABA",14,3.3,2023-11-03,"Básico","Español","San Juan"
56,"Masculino",44,"Río Negro",29,3.7,2023-08-28,"Básico","Español,Portugués","Tucumán"
57,"Masculino",48,"CABA",19,1.9,2019-07-12,"Completo","Español,Inglés","Tucumán"
58,"Masculino",69,"Córdoba",17,3.8,2020-12-27,"Intermedio","Español","Catamarca"
59,"Femenino",63,"Jujuy",47,1.9,2019-11-02,"Básico","Español","Mendoza"
60,"Masculino",51,"Tucumán",18,3,2019-04-03,"Completo","Español,Inglés,Portugués","Neuquén"
61,"Masculino",52,"Santa Fe",17,3.6,2021-04-03,"Básico","Español,Inglés,Portugués","Catamarca"
62,"Femenino",64,"Buenos Aires",50,3.2,2024-08-19,"Completo","Español","La Rioja"
63,"Masculino",33,"Chubut",21,3.6,2020-05-05,"Completo","Español","Buenos Aires"
64,"Masculino",65,"San Juan",50,3.3,2021-03-03,"Completo","Español,Inglés,Portugués","Santiago del Estero"
65,"Masculino",51,"Río Negro",4,2.5,2021-11-13,"Intermedio","Español","Jujuy"
66,"Femenino",29,"San Juan",31,3.6,2023-07-11,"Intermedio","Español,Portugués","Chubut"
67,"Femenino",36,"San Juan",0,1.8,2021-04-08,"Completo","Español,Inglés","Misiones"
