"id_casa","tipo_vivienda","provincia_ubicacion","precio_base_noche","categoria_precio","calificacion_general"
162,"Casa","Santa Cruz",10951,"Moderado",5
167,"Loft","Chaco",11745,"Moderado",5
856,"Casa","San Juan",11193,"Moderado",5
1176,"Casa","Formosa",14575,"Moderado",5
1202,"Cabaña","Santa Fe",12876,"Moderado",5
1375,"Chalet","San Juan",9104,"Económico",5
1433,"Chalet","Neuquén",19891,"Moderado",5
1586,"Casa","Río Negro",6365,"Económico",5
1701,"Casa","Mendoza",15721,"Moderado",5
1740,"Chalet","Córdoba",6273,"Económico",5
1778,"Chalet","Mendoza",13195,"Moderado",5
1780,"Casa","CABA",8800,"Económico",5
2431,"Loft","Mendoza",6410,"Económico",5
2526,"Departamento","Río Negro",19649,"Moderado",5
2665,"Casa","Santa Fe",8492,"Económico",5
2697,"Casa","Catamarca",11892,"Moderado",5
2756,"Casa","Jujuy",5981,"Económico",5
2804,"Casa","Córdoba",19543,"Moderado",5
2953,"Cabaña","Tucumán",14448,"Moderado",5
2975,"Cabaña","CABA",5867,"Económico",5
23,"Chalet","Salta",7947,"Económico",4.9
43,"Casa","La Pampa",17192,"Moderado",4.9
138,"Loft","Buenos Aires",12767,"Moderado",4.9
312,"Departamento","Neuquén",10904,"Moderado",4.9
318,"Chalet","Santa Fe",12287,"Moderado",4.9
490,"Loft","Córdoba",9085,"Económico",4.9
536,"Casa","San Juan",5074,"Económico",4.9
551,"Departamento","Salta",5950,"Económico",4.9
885,"Cabaña","Córdoba",16070,"Moderado",4.9
918,"Departamento","Misiones",9151,"Económico",4.9
1459,"Departamento","San Juan",18133,"Moderado",4.9
1471,"Loft","Chaco",10663,"Moderado",4.9
1476,"Cabaña","Córdoba",7857,"Económico",4.9
1596,"Chalet","Río Negro",6915,"Económico",4.9
1681,"Cabaña","Salta",10187,"Moderado",4.9
1831,"Chalet","Jujuy",5575,"Económico",4.9
1973,"Loft","Formosa",6425,"Económico",4.9
2025,"Cabaña","Catamarca",7310,"Económico",4.9
2085,"Casa","Neuquén",9123,"Económico",4.9
2127,"Casa","Tucumán",11009,"Moderado",4.9
2170,"Departamento","Chubut",18774,"Moderado",4.9
2206,"Casa","Formosa",10257,"Moderado",4.9
2209,"Departamento","Buenos Aires",16150,"Moderado",4.9
2216,"Casa","Chaco",18153,"Moderado",4.9
2356,"Casa","San Luis",15868,"Moderado",4.9
2418,"Loft","Tucumán",18215,"Moderado",4.9
2464,"Chalet","CABA",5162,"Económico",4.9
2580,"Chalet","Formosa",7145,"Económico",4.9
