"id_casa","ingreso_total","dias_ocupacion","ingreso_por_dia","cuartil_rentabilidad","alta_rentabilidad","tipo_vivienda","provincia_ubicacion","categoria"
1572,9714802,218,44563.3119266055,"Q4",TRUE,"Chalet","Catamarca","Lujo"
141,14018705,325,43134.4769230769,"Q4",TRUE,"Casa","La Pampa","Económica"
2400,9153414,218,41988.1376146789,"Q4",TRUE,"Chalet","Santa Fe","Ultra lujo"
320,8246104,197,41858.3959390863,"Q4",TRUE,"Cabaña","Tucumán","Premium"
368,8818065,212,41594.6462264151,"Q4",TRUE,"Departamento","Misiones","Ultra lujo"
2127,9581832,239,40091.3472803347,"Q4",TRUE,"Casa","Tucumán","Económica"
744,7646069,191,40031.7748691099,"Q4",TRUE,"Departamento","Santa Cruz","Estándar"
889,11200740,282,39718.9361702128,"Q4",TRUE,"Casa","Río Negro","Lujo"
609,11395168,288,39566.5555555556,"Q4",TRUE,"Departamento","Neuquén","Premium"
1398,8893324,225,39525.8844444444,"Q4",TRUE,"Chalet","La Rioja","Económica"
1914,10233892,259,39513.0965250965,"Q4",TRUE,"Departamento","Neuquén","Ultra lujo"
1595,7822540,198,39507.7777777778,"Q4",TRUE,"Loft","Santa Fe","Premium"
1395,9300064,236,39407.0508474576,"Q4",TRUE,"Casa","Salta","Ultra lujo"
485,4450021,113,39380.7168141593,"Q4",TRUE,"Cabaña","Santa Fe","Ultra lujo"
415,6851307,174,39375.3275862069,"Q4",TRUE,"Casa","Santa Cruz","Lujo"
1607,9068237,231,39256.4372294372,"Q4",TRUE,"Cabaña","Entre Ríos","Económica"
2812,8816864,225,39186.0622222222,"Q4",TRUE,"Casa","La Rioja","Económica"
806,5563292,142,39178.1126760563,"Q4",TRUE,"Loft","Chaco","Premium"
2841,8803540,225,39126.8444444444,"Q4",TRUE,"Casa","Neuquén","Estándar"
1480,7249543,186,38976.0376344086,"Q4",TRUE,"Casa","Tierra del Fuego","Lujo"
1029,10308932,265,38901.6301886792,"Q4",TRUE,"Departamento","Chubut","Estándar"
211,7300042,188,38830.0106382979,"Q4",TRUE,"Departamento","Salta","Estándar"
2329,5425654,140,38754.6714285714,"Q4",TRUE,"Departamento","Chaco","Lujo"
752,9178290,237,38726.9620253165,"Q4",TRUE,"Chalet","Santa Fe","Ultra lujo"
2264,9519299,246,38696.337398374,"Q4",TRUE,"Casa","Santiago del Estero","Ultra lujo"
2524,8848741,229,38640.7903930131,"Q4",TRUE,"Departamento","Chubut","Lujo"
2833,7844007,204,38451.0147058823,"Q4",TRUE,"Departamento","Santa Fe","Premium"
765,13435382,350,38386.8057142857,"Q4",TRUE,"Chalet","Córdoba","Económica"
2245,8702802,227,38338.3348017621,"Q4",TRUE,"Departamento","La Pampa","Estándar"
885,7842592,205,38256.5463414634,"Q4",TRUE,"Cabaña","Córdoba","Estándar"
960,8182606,214,38236.476635514,"Q4",TRUE,"Departamento","Misiones","Lujo"
1764,8751552,229,38216.384279476,"Q4",TRUE,"Casa","San Luis","Estándar"
2956,8330714,219,38039.7899543379,"Q4",TRUE,"Cabaña","Mendoza","Estándar"
665,8747830,230,38034.0434782609,"Q4",TRUE,"Departamento","CABA","Ultra lujo"
99,9882237,260,38008.6038461538,"Q4",TRUE,"Chalet","Santiago del Estero","Estándar"
2142,10084004,266,37909.7894736842,"Q4",TRUE,"Casa","Santa Cruz","Ultra lujo"
1982,8059808,213,37839.4741784038,"Q4",TRUE,"Chalet","La Pampa","Económica"
144,8090480,214,37805.9813084112,"Q4",TRUE,"Departamento","San Juan","Ultra lujo"
175,7744079,205,37775.9951219512,"Q4",TRUE,"Chalet","Salta","Económica"
826,6609592,175,37769.0971428571,"Q4",TRUE,"Casa","Chubut","Ultra lujo"
2407,7782650,207,37597.3429951691,"Q4",TRUE,"Chalet","San Luis","Lujo"
2147,9891536,264,37467.9393939394,"Q4",TRUE,"Departamento","Chubut","Lujo"
1793,4707293,126,37359.4682539683,"Q4",TRUE,"Casa","Tucumán","Lujo"
2207,10123164,271,37354.8487084871,"Q4",TRUE,"Loft","San Luis","Lujo"
1041,6197019,166,37331.4397590361,"Q4",TRUE,"Departamento","Río Negro","Premium"
2806,9067511,243,37314.8600823045,"Q4",TRUE,"Chalet","Tucumán","Lujo"
2836,10367473,278,37293.0683453237,"Q4",TRUE,"Casa","Catamarca","Estándar"
266,10997272,295,37278.8881355932,"Q4",TRUE,"Loft","Buenos Aires","Lujo"
1805,9948392,267,37259.8951310861,"Q4",TRUE,"Departamento","Buenos Aires","Lujo"
1084,8835623,238,37124.4663865546,"Q4",TRUE,"Loft","Mendoza","Premium"
156,8760986,236,37122.8220338983,"Q4",TRUE,"Chalet","Chubut","Lujo"
1983,9941788,268,37096.223880597,"Q4",TRUE,"Casa","Salta","Lujo"
1866,8493889,229,37091.2183406114,"Q4",TRUE,"Cabaña","Corrientes","Lujo"
2697,9128974,247,36959.4089068826,"Q4",TRUE,"Casa","Catamarca","Económica"
2250,10126249,274,36957.1131386861,"Q4",TRUE,"Loft","Entre Ríos","Estándar"
316,7648299,207,36948.3043478261,"Q4",TRUE,"Loft","Santa Cruz","Premium"
1421,10427139,283,36845.0141342756,"Q4",TRUE,"Casa","Misiones","Económica"
608,9353661,254,36825.437007874,"Q4",TRUE,"Loft","Entre Ríos","Lujo"
2762,9972836,271,36800.1328413284,"Q4",TRUE,"Loft","Córdoba","Estándar"
1872,8785052,239,36757.539748954,"Q4",TRUE,"Casa","Entre Ríos","Ultra lujo"
1921,7602920,207,36729.0821256039,"Q4",TRUE,"Casa","Formosa","Lujo"
74,8227175,224,36728.4598214286,"Q4",TRUE,"Chalet","San Juan","Estándar"
2533,10059687,274,36714.1861313869,"Q4",TRUE,"Cabaña","La Rioja","Económica"
279,8149990,222,36711.6666666667,"Q4",TRUE,"Cabaña","San Juan","Lujo"
2154,6239962,170,36705.6588235294,"Q4",TRUE,"Cabaña","Santa Fe","Ultra lujo"
726,6380389,174,36668.9022988506,"Q4",TRUE,"Departamento","Río Negro","Premium"
151,7911016,216,36625.0740740741,"Q4",TRUE,"Departamento","CABA","Premium"
1955,8051260,220,36596.6363636364,"Q4",TRUE,"Chalet","Formosa","Ultra lujo"
711,6916209,189,36593.6984126984,"Q4",TRUE,"Loft","Tucumán","Ultra lujo"
1196,11672505,319,36590.9247648903,"Q4",TRUE,"Departamento","La Rioja","Económica"
1571,11013423,301,36589.4451827243,"Q4",TRUE,"Casa","La Rioja","Premium"
1283,10644455,291,36578.883161512,"Q4",TRUE,"Loft","Santa Fe","Económica"
2550,11409059,312,36567.4967948718,"Q4",TRUE,"Departamento","Santiago del Estero","Ultra lujo"
2158,8333831,228,36551.8903508772,"Q4",TRUE,"Cabaña","Salta","Económica"
1516,6865389,188,36518.0265957447,"Q4",TRUE,"Loft","Tierra del Fuego","Lujo"
2587,13547379,371,36515.846361186,"Q4",TRUE,"Chalet","Santiago del Estero","Ultra lujo"
385,10222920,280,36510.4285714286,"Q4",TRUE,"Chalet","Chaco","Económica"
2041,7334768,201,36491.3830845771,"Q4",TRUE,"Departamento","Salta","Lujo"
957,8204388,225,36463.9466666667,"Q4",TRUE,"Cabaña","Entre Ríos","Premium"
2891,8200922,225,36448.5422222222,"Q4",TRUE,"Cabaña","San Luis","Económica"
2059,11545664,317,36421.6529968454,"Q4",TRUE,"Loft","La Pampa","Económica"
1045,10489279,288,36421.1076388889,"Q4",TRUE,"Departamento","Jujuy","Económica"
2379,9213242,253,36415.976284585,"Q4",TRUE,"Cabaña","Entre Ríos","Ultra lujo"
911,9318353,256,36399.81640625,"Q4",TRUE,"Casa","Salta","Estándar"
1226,7640440,210,36383.0476190476,"Q4",TRUE,"Casa","Salta","Premium"
104,8149745,224,36382.7901785714,"Q4",TRUE,"Departamento","Neuquén","Lujo"
2751,7967411,219,36380.8721461187,"Q4",TRUE,"Cabaña","San Juan","Estándar"
2700,8183824,225,36372.5511111111,"Q4",TRUE,"Casa","Santa Fe","Ultra lujo"
950,8977777,247,36347.2753036437,"Q4",TRUE,"Departamento","La Rioja","Estándar"
97,8466319,233,36336.1330472103,"Q4",TRUE,"Cabaña","Santa Fe","Estándar"
313,8972907,247,36327.5587044534,"Q4",TRUE,"Loft","Salta","Premium"
2391,8057128,222,36293.3693693694,"Q4",TRUE,"Loft","Tucumán","Económica"
2113,8201255,226,36288.7389380531,"Q4",TRUE,"Departamento","Santiago del Estero","Premium"
2607,6130772,169,36276.7573964497,"Q4",TRUE,"Departamento","Entre Ríos","Estándar"
1970,10259523,283,36252.7314487633,"Q4",TRUE,"Departamento","Salta","Premium"
2330,12887495,356,36200.8286516854,"Q4",TRUE,"Cabaña","La Rioja","Estándar"
757,7420784,205,36198.9463414634,"Q4",TRUE,"Cabaña","San Luis","Económica"
1039,9373159,259,36189.8030888031,"Q4",TRUE,"Departamento","Córdoba","Estándar"
1811,6441180,178,36186.404494382,"Q4",TRUE,"Chalet","Formosa","Económica"
2888,6799731,188,36168.7819148936,"Q4",TRUE,"Chalet","Río Negro","Económica"
2369,10952519,303,36146.9273927393,"Q4",TRUE,"Cabaña","Santiago del Estero","Lujo"
1778,7261391,201,36126.3233830846,"Q4",TRUE,"Chalet","Mendoza","Estándar"
53,5923122,164,36116.5975609756,"Q4",TRUE,"Loft","Neuquén","Premium"
265,7295532,202,36116.4950495049,"Q4",TRUE,"Casa","Neuquén","Ultra lujo"
2988,10472175,290,36110.9482758621,"Q4",TRUE,"Casa","Chubut","Lujo"
2322,8808753,244,36101.4467213115,"Q4",TRUE,"Casa","CABA","Lujo"
2868,6636579,184,36068.3641304348,"Q4",TRUE,"Loft","Formosa","Estándar"
1540,9628567,267,36062.0486891386,"Q4",TRUE,"Loft","Córdoba","Ultra lujo"
560,7788349,216,36057.1712962963,"Q4",TRUE,"Chalet","Entre Ríos","Económica"
1205,9657004,268,36033.5970149254,"Q4",TRUE,"Loft","Río Negro","Económica"
1492,5511327,153,36021.7450980392,"Q4",TRUE,"Casa","Formosa","Estándar"
2725,10760571,299,35988.5317725753,"Q4",TRUE,"Chalet","Salta","Estándar"
1656,9427317,262,35982.1259541985,"Q4",TRUE,"Chalet","Salta","Premium"
1159,7375764,205,35979.3365853659,"Q4",TRUE,"Loft","Mendoza","Premium"
2405,12591958,350,35977.0228571429,"Q4",TRUE,"Cabaña","Jujuy","Premium"
2689,5648331,157,35976.6305732484,"Q4",TRUE,"Casa","Santa Cruz","Económica"
1862,10818707,301,35942.5481727575,"Q4",TRUE,"Cabaña","San Luis","Estándar"
192,7726463,215,35937.0372093023,"Q4",TRUE,"Departamento","Neuquén","Premium"
2880,11454624,319,35907.9122257053,"Q4",TRUE,"Cabaña","Catamarca","Estándar"
2667,8435137,235,35894.2,"Q4",TRUE,"Departamento","Chubut","Ultra lujo"
727,10157609,283,35892.6113074205,"Q4",TRUE,"Chalet","CABA","Premium"
600,8826874,246,35881.6016260163,"Q4",TRUE,"Loft","Santiago del Estero","Lujo"
1294,10154488,283,35881.5830388693,"Q4",TRUE,"Chalet","Formosa","Premium"
2774,9217367,257,35865.2412451362,"Q4",TRUE,"Chalet","Salta","Estándar"
2932,8819184,246,35850.3414634146,"Q4",TRUE,"Cabaña","Mendoza","Estándar"
1306,9500063,265,35849.2943396226,"Q4",TRUE,"Chalet","CABA","Premium"
1345,10750018,300,35833.3933333333,"Q4",TRUE,"Casa","Santiago del Estero","Lujo"
948,7874647,220,35793.85,"Q4",TRUE,"Cabaña","Formosa","Ultra lujo"
1498,8769488,245,35793.8285714286,"Q4",TRUE,"Chalet","Formosa","Ultra lujo"
2047,7800053,218,35780.0596330275,"Q4",TRUE,"Casa","Santa Cruz","Lujo"
2973,7942203,222,35775.6891891892,"Q4",TRUE,"Cabaña","Córdoba","Estándar"
2046,10409292,291,35770.7628865979,"Q4",TRUE,"Departamento","Tierra del Fuego","Lujo"
169,7654565,214,35768.9953271028,"Q4",TRUE,"Chalet","Santiago del Estero","Ultra lujo"
15,10157781,284,35766.8345070423,"Q4",TRUE,"Loft","Córdoba","Lujo"
508,8044139,225,35751.7288888889,"Q4",TRUE,"Casa","Río Negro","Lujo"
2842,9719496,272,35733.4411764706,"Q4",TRUE,"Chalet","Formosa","Económica"
1814,7789181,218,35730.1880733945,"Q4",TRUE,"Loft","Formosa","Estándar"
20,6680679,187,35725.5561497326,"Q4",TRUE,"Casa","San Juan","Lujo"
172,10421835,292,35691.2157534247,"Q4",TRUE,"Loft","La Pampa","Premium"
814,8351397,234,35689.7307692308,"Q4",TRUE,"Chalet","San Luis","Lujo"
1180,12240104,343,35685.4344023324,"Q4",TRUE,"Cabaña","Chaco","Premium"
1687,12378221,347,35672.1066282421,"Q4",TRUE,"Cabaña","Chubut","Premium"
2918,4707550,132,35663.2575757576,"Q4",TRUE,"Chalet","Entre Ríos","Lujo"
69,7524171,211,35659.5781990521,"Q4",TRUE,"Casa","Mendoza","Lujo"
95,8235524,231,35651.619047619,"Q4",TRUE,"Chalet","Misiones","Económica"
2694,7763632,218,35612.9908256881,"Q4",TRUE,"Casa","San Luis","Estándar"
1878,9827531,276,35606.9963768116,"Q4",TRUE,"Loft","Buenos Aires","Premium"
2343,7441224,209,35603.9425837321,"Q4",TRUE,"Departamento","Santa Fe","Ultra lujo"
2226,10324085,290,35600.2931034483,"Q4",TRUE,"Cabaña","Chaco","Económica"
319,7686199,216,35584.2546296296,"Q4",TRUE,"Departamento","Entre Ríos","Estándar"
2709,7683966,216,35573.9166666667,"Q4",TRUE,"Casa","Tucumán","Ultra lujo"
747,10272164,289,35543.8200692042,"Q4",TRUE,"Loft","Misiones","Ultra lujo"
111,11089349,312,35542.7852564103,"Q4",TRUE,"Loft","Santa Cruz","Económica"
1413,10057098,283,35537.4487632509,"Q4",TRUE,"Cabaña","Santa Cruz","Económica"
297,10233114,288,35531.6458333333,"Q4",TRUE,"Loft","Entre Ríos","Económica"
247,9166301,258,35528.2984496124,"Q4",TRUE,"Casa","Misiones","Estándar"
2989,6856231,193,35524.5129533679,"Q4",TRUE,"Loft","Buenos Aires","Lujo"
2225,9838402,277,35517.6967509025,"Q4",TRUE,"Cabaña","Santa Cruz","Económica"
2962,6854842,193,35517.3160621762,"Q4",TRUE,"Departamento","Entre Ríos","Lujo"
954,6708508,189,35494.7513227513,"Q4",TRUE,"Chalet","Neuquén","Lujo"
818,8654474,244,35469.1557377049,"Q4",TRUE,"Departamento","Corrientes","Ultra lujo"
2409,8618668,243,35467.7695473251,"Q4",TRUE,"Loft","San Luis","Ultra lujo"
997,7198913,203,35462.6256157635,"Q4",TRUE,"Cabaña","Chubut","Lujo"
1801,9002964,254,35444.7401574803,"Q4",TRUE,"Casa","CABA","Lujo"
1393,9888632,279,35443.1254480287,"Q4",TRUE,"Chalet","La Rioja","Económica"
