"id_arrendatario","segmento_volumen","segmento_precio","segmento_experiencia","segmento_calidad","segmento_compuesto","num_propiedades","precio_promedio","calificacion_media","es_superanfitrion","antiguedad_anos","tiempo_respuesta_hrs"
1,"Grande","Estándar","Veterano","Básico","Grande Estándar Básico",4,15614.75,2.6,FALSE,6.95687885010267,24
2,"Muy grande","Premium","Experimentado","Básico","Muy grande Premium Básico",6,26139.8333333333,1.2,FALSE,2.64750171115674,1
3,"Mediano","Lujo","Veterano","Muy bueno","Mediano Lujo Muy bueno",2,40535.5,4.5,FALSE,6.76522929500342,8
4,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",3,19500.6666666667,1.3,FALSE,6.5242984257358,1
5,"Grande","Lujo","Experimentado","Excelente","Grande Lujo Excelente",5,41430.6,4.7,TRUE,2.94866529774127,4
6,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",3,19098.3333333333,1.6,TRUE,5.94113620807666,1
7,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,29518.25,1.4,FALSE,5.33607118412047,4
8,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,14897.5,2.1,FALSE,4.24366872005476,12
9,"Pequeño","Estándar","Experimentado","Básico","Pequeño Estándar Básico",1,16763,1.4,TRUE,2.17659137577002,1
10,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,19366,1.5,FALSE,4.73921971252567,2
11,"Pequeño","Premium","Experimentado","Muy bueno","Pequeño Premium Muy bueno",1,26457,4.1,FALSE,2.97604380561259,4
12,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",3,53039,1.3,FALSE,3.08008213552361,12
13,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,34030.5,2,FALSE,4.64613278576318,1
14,"Grande","Premium","Veterano","Bueno","Grande Premium Bueno",5,25293.8,4,FALSE,5.47296372347707,24
15,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",2,22914,2.3,FALSE,1.68651608487337,4
16,"Muy grande","Premium","Veterano","Bueno","Muy grande Premium Bueno",6,25645.3333333333,3.6,FALSE,4.10130047912389,8
17,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",2,36593.5,2.7,FALSE,7.80013689253936,1
18,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,32963.5,2.3,FALSE,7.50718685831622,8
19,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",2,37768,1.3,TRUE,3.96440793976728,12
20,"Grande","Premium","Experimentado","Bueno","Grande Premium Bueno",5,30402.8,3.9,TRUE,2.02874743326489,2
21,"Muy grande","Lujo","Veterano","Básico","Muy grande Lujo Básico",NA,NA,1.3,FALSE,5.27036276522929,24
22,"Mediano","Lujo","Experimentado","Bueno","Mediano Lujo Bueno",2,43264.5,3.8,FALSE,1.22108145106092,24
23,"Grande","Estándar","Novato","Básico","Grande Estándar Básico",5,18184.4,2.2,FALSE,0.804928131416838,4
24,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",3,19648,1.3,FALSE,4.09582477754962,4
25,"Mediano","Premium","Veterano","Muy bueno","Mediano Premium Muy bueno",3,21653.3333333333,4.4,FALSE,4.31485284052019,2
26,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,34971,1.2,FALSE,6.62833675564682,12
27,"Mediano","Estándar","Experimentado","Excelente","Mediano Estándar Excelente",3,16337.6666666667,4.6,TRUE,1.48939082819986,48
28,"Mediano","Estándar","Veterano","Excelente","Mediano Estándar Excelente",3,18292.6666666667,4.9,FALSE,4.58590006844627,4
29,"Grande","Premium","Veterano","Básico","Grande Premium Básico",5,26639.4,1.9,FALSE,3.69609856262834,8
30,"Mediano","Premium","Veterano","Bueno","Mediano Premium Bueno",2,33037,3.2,FALSE,6.12731006160164,24
31,"Mediano","Premium","Veterano","Muy bueno","Mediano Premium Muy bueno",3,24212.3333333333,4.2,FALSE,4.39425051334702,24
32,"Mediano","Lujo","Veterano","Bueno","Mediano Lujo Bueno",3,40220.6666666667,3.5,FALSE,8.15058179329227,4
33,"Pequeño","Lujo","Veterano","Básico","Pequeño Lujo Básico",1,39377,1.7,FALSE,4.42984257357974,12
34,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",2,31849,2.8,FALSE,1.4839151266256,24
35,"Muy grande","Estándar","Veterano","Bueno","Muy grande Estándar Bueno",6,15547.8333333333,4,FALSE,6.44216290212183,12
36,"Grande","Lujo","Veterano","Básico","Grande Lujo Básico",5,42815.2,1.1,FALSE,5.4154688569473,4
37,"Grande","Premium","Veterano","Bueno","Grande Premium Bueno",4,20697,3.5,FALSE,5.30869267624914,12
38,"Pequeño","Premium","Veterano","Excelente","Pequeño Premium Excelente",1,25572,4.8,TRUE,7.96440793976728,12
39,"Pequeño","Lujo","Veterano","Básico","Pequeño Lujo Básico",1,43386,1.3,FALSE,4.59958932238193,2
